2026-07-06 17:11:04 | INFO     | backend.reguaz.services.generation.llm_factory | Instantiating LLM provider: gemma
2026-07-07 00:57:21 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:57:21 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 00:57:21 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 16080
2026-07-07 00:57:21 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 00:57:21 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 17104
2026-07-07 00:57:21 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 13008 tokens!
2026-07-07 00:57:21 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (16080) exceed context window of 4096
2026-07-07 00:57:42 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:57:42 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 00:57:42 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 13493
2026-07-07 00:57:42 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 00:57:42 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 14517
2026-07-07 00:57:42 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 10421 tokens!
2026-07-07 00:57:42 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (13493) exceed context window of 4096
2026-07-07 00:58:09 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:58:09 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 00:58:09 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 10787
2026-07-07 00:58:09 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 00:58:09 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 11811
2026-07-07 00:58:09 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 7715 tokens!
2026-07-07 00:58:09 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (10787) exceed context window of 4096
2026-07-07 00:58:36 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:58:36 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 00:58:36 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 13564
2026-07-07 00:58:36 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 00:58:36 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 14588
2026-07-07 00:58:36 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 10492 tokens!
2026-07-07 00:58:36 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (13564) exceed context window of 4096
2026-07-07 00:59:03 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:59:03 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 00:59:03 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 12786
2026-07-07 00:59:03 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 00:59:03 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 13810
2026-07-07 00:59:03 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 9714 tokens!
2026-07-07 00:59:03 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (12786) exceed context window of 4096
2026-07-07 00:59:25 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:59:25 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 00:59:25 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 13465
2026-07-07 00:59:25 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 00:59:25 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 14489
2026-07-07 00:59:25 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 10393 tokens!
2026-07-07 00:59:25 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (13465) exceed context window of 4096
2026-07-07 00:59:54 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 00:59:54 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 00:59:54 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 9698
2026-07-07 00:59:54 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 00:59:54 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 10722
2026-07-07 00:59:54 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 6626 tokens!
2026-07-07 00:59:54 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (9698) exceed context window of 4096
2026-07-07 01:00:20 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 01:00:20 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 01:00:20 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 11781
2026-07-07 01:00:20 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 01:00:20 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 12805
2026-07-07 01:00:20 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 8709 tokens!
2026-07-07 01:00:20 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (11781) exceed context window of 4096
2026-07-07 01:00:57 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 01:00:57 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 01:00:57 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 12347
2026-07-07 01:00:57 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 01:00:57 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 13371
2026-07-07 01:00:57 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 9275 tokens!
2026-07-07 01:00:57 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (12347) exceed context window of 4096
2026-07-07 01:01:33 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 01:01:33 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 01:01:33 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 13015
2026-07-07 01:01:33 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 01:01:33 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 14039
2026-07-07 01:01:33 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 9943 tokens!
2026-07-07 01:01:33 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (13015) exceed context window of 4096
2026-07-07 01:02:10 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 01:02:10 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 01:02:10 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 12419
2026-07-07 01:02:10 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 01:02:10 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 13443
2026-07-07 01:02:10 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 9347 tokens!
2026-07-07 01:02:10 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (12419) exceed context window of 4096
2026-07-07 01:02:50 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 01:02:50 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 01:02:50 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 7361
2026-07-07 01:02:50 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 01:02:50 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 8385
2026-07-07 01:02:50 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 4289 tokens!
2026-07-07 01:02:50 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (7361) exceed context window of 4096
2026-07-07 01:03:21 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 01:03:21 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 01:03:21 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 6337
2026-07-07 01:03:21 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 01:03:21 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 7361
2026-07-07 01:03:21 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 3265 tokens!
2026-07-07 01:03:21 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (6337) exceed context window of 4096
2026-07-07 01:03:48 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 01:03:48 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 01:03:48 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 8529
2026-07-07 01:03:48 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 01:03:48 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 9553
2026-07-07 01:03:48 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 5457 tokens!
2026-07-07 01:03:48 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (8529) exceed context window of 4096
2026-07-07 01:04:13 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 01:04:13 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 01:04:13 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 8171
2026-07-07 01:04:13 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 01:04:13 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 9195
2026-07-07 01:04:13 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 5099 tokens!
2026-07-07 01:04:13 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (8171) exceed context window of 4096
2026-07-07 01:04:40 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 01:04:40 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 01:04:40 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 8434
2026-07-07 01:04:40 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 01:04:40 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 9458
2026-07-07 01:04:40 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 5362 tokens!
2026-07-07 01:04:40 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (8434) exceed context window of 4096
2026-07-07 01:05:11 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 01:05:11 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 01:05:11 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 9705
2026-07-07 01:05:11 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 01:05:11 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 10729
2026-07-07 01:05:11 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 6633 tokens!
2026-07-07 01:05:11 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (9705) exceed context window of 4096
2026-07-07 01:05:41 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 01:05:41 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 01:05:41 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 11698
2026-07-07 01:05:41 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 01:05:41 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 12722
2026-07-07 01:05:41 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 8626 tokens!
2026-07-07 01:05:41 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (11698) exceed context window of 4096
2026-07-07 01:07:25 | INFO     | backend.reguaz.services.generation.llm_factory | Instantiating LLM provider: gemma
2026-07-07 01:07:25 | INFO     | backend.reguaz.services.generation.gemma_service | Loading Gemma model from /Users/samil/Desktop/ITSkillsSprintProjects/banking-regulatory-intelligence-platform/backend/reguaz/models/gemma-4-E4B-it-Q4_K_M.gguf with config: context_window=4096, temperature=0.1, max_tokens=1024, top_p=0.95, top_k=40, repeat_penalty=1.1, seed=42
2026-07-07 01:07:28 | INFO     | backend.reguaz.services.generation.gemma_service | Gemma model loaded successfully in 3.3212 seconds.
2026-07-07 01:07:37 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 01:07:37 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 01:07:37 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 7941
2026-07-07 01:07:37 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 01:07:37 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 8965
2026-07-07 01:07:37 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 4869 tokens!
2026-07-07 01:07:37 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (7941) exceed context window of 4096
2026-07-07 01:07:51 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 01:07:51 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 01:07:51 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 13715
2026-07-07 01:07:51 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 01:07:51 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 14739
2026-07-07 01:07:51 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 10643 tokens!
2026-07-07 01:07:51 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (13715) exceed context window of 4096
2026-07-07 01:08:04 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 01:08:04 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 01:08:04 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 11048
2026-07-07 01:08:04 | INFO     | backend.reguaz.services.generation.gemma_service | Generation tokens: 1024
2026-07-07 01:08:04 | INFO     | backend.reguaz.services.generation.gemma_service | Requested total: 12072
2026-07-07 01:08:04 | WARNING  | backend.reguaz.services.generation.gemma_service | Prompt exceeds context window by 7976 tokens!
2026-07-07 01:08:04 | ERROR    | backend.reguaz.services.generation.gemma_service | Validation error during generation: Requested tokens (11048) exceed context window of 4096
2026-07-07 01:08:18 | INFO     | backend.reguaz.services.generation.gemma_service | Generation started
2026-07-07 01:08:18 | INFO     | backend.reguaz.services.generation.gemma_service | Context window: 4096
2026-07-07 01:08:18 | INFO     | backend.reguaz.services.generation.gemma_service | Prompt tokens: 3404
